Date,Time,Point,Comment,Weather
2021-05-01,,daikoku,内側中央付近でヒラメ（34cm）とアジの釣果が確認出来ました。近くのお客さまもアジをお持ちでした。（大黒14:15）。,晴
2021-05-01,,daikoku,南西の風が12m〜14m吹き付けている桟橋です。これからの時間も風は強めの予報が出ています。充分注意して釣りをお楽しみ下さい。（大黒14:09）。,晴
2021-05-01,,daikoku,,晴
2021-05-01,,daikoku,内側中央付近でヒラメ（34cm）とアジの釣果が確認出来ました。近くのお客さまもアジをお持ちでした。（大黒14:15）。,晴
2021-05-01,,daikoku,南西の風が12m〜14m吹き付けている桟橋です。これからの時間も風は強めの予報が出ています。充分注意して釣りをお楽しみ下さい。（大黒14:09）。,晴
2021-05-01,,daikoku,,晴
2021-05-01,,daikoku,内側中央付近でヒラメ（34cm）とアジの釣果が確認出来ました。近くのお客さまもアジをお持ちでした。（大黒14:15）。,晴
2021-05-01,,daikoku,南西の風が12m〜14m吹き付けている桟橋です。これからの時間も風は強めの予報が出ています。充分注意して釣りをお楽しみ下さい。（大黒14:09）。,晴
2021-05-01,,daikoku,,晴
2021-05-01,,daikoku,内側中央付近でヒラメ（34cm）とアジの釣果が確認出来ました。近くのお客さまもアジをお持ちでした。（大黒14:15）。,晴
2021-05-01,,daikoku,南西の風が12m〜14m吹き付けている桟橋です。これからの時間も風は強めの予報が出ています。充分注意して釣りをお楽しみ下さい。（大黒14:09）。,晴
2021-05-01,,daikoku,,晴
2021-05-01,,honmoku,天気：晴れ気温：15.0℃水温：17.0℃風向：北東風速：2〜3ｍ潮：中潮満潮：6：34／21：10干潮：1：22／13：42警報/注意報：なし。,晴
2021-05-01,,honmoku,天気：晴れ気温：15.0℃水温：17.0℃風向：北東風速：2〜3ｍ潮：中潮満潮：6：34／21：10干潮：1：22／13：42警報/注意報：なし。,晴
2021-05-01,,honmoku,天気：晴れ気温：15.0℃水温：17.0℃風向：北東風速：2〜3ｍ潮：中潮満潮：6：34／21：10干潮：1：22／13：42警報/注意報：なし。,晴
2021-05-01,,honmoku,天気：晴れ気温：15.0℃水温：17.0℃風向：北東風速：2〜3ｍ潮：中潮満潮：6：34／21：10干潮：1：22／13：42警報/注意報：なし。,晴
2021-05-01,2021-05-01 04:34:00,daikoku,今朝の大黒は晴れ、午後から曇り南寄りの風がやや強く吹く予報となっています。最高気温は22℃を越えて暖くなりそうです。午後の風に備えて上着の用意とコロナ感染予防対策をしてお越し下さい。日没後は急速に暗くなりますので、ヘッドライト等の照明器具をご用意下さい。,晴
2021-05-01,2021-05-01 07:12:00,isogo,お早う御座います、磯子は清々しい五月晴れの朝を迎えています。本日の潮；中潮、満潮；6:29/20:47、干潮；1:09/13:37天気；快晴、水温17.5℃、気温18.5℃、風；北風2〜5.1m/s。,晴
2021-05-01,2021-05-01 07:40:00,daikoku,外側先端のサビキで、サヨリがあがりました。内側先端では、サビキでアジがあがっていました。桟橋全体にイワシの回遊もあります。(大黒7:40)。,晴
2021-05-01,2021-05-01 10:50:00,daikoku,只今、釣り場200名定員になっています。(大黒10:50)。,晴
2021-05-01,2021-05-01 11:05:00,isogo,東桟橋奥浮きフカセ釣りでメジナ28僂釣れました。数は少ないようです。(磯子11:05)。,晴
2021-05-01,2021-05-01 11:12:00,isogo,南桟橋奥サビキ釣りでアジ20〜24僂上がっています。他にコノシロは好調に釣れています。(磯子11:12)。,晴
2021-05-01,2021-05-01 11:40:00,isogo,本日横浜地方に「強風・波浪・雷」注意報が発令されています。当施設では風速15ｍ以上の風を常時観測されますと釣り中止・閉場となりますので、ご承知おき下さい。(磯子11:40)。,晴
2021-05-01 00:00:00,2021-05-01 00:00:00,daikoku,,晴
2021-05-01 00:00:00,2021-05-01 00:00:00,honmoku,天気：晴れ気温：15.0℃水温：17.0℃風向：北東風速：2〜3ｍ潮：中潮満潮：6：34／21：10干潮：1：22／13：42警報/注意報：なし。,晴
2021-05-01 00:00:00,2021-05-01 04:34:00,daikoku,今朝の大黒は晴れ、午後から曇り南寄りの風がやや強く吹く予報となっています。最高気温は22℃を越えて暖くなりそうです。午後の風に備えて上着の用意とコロナ感染予防対策をしてお越し下さい。日没後は急速に暗くなりますので、ヘッドライト等の照明器具をご用意下さい。,晴
2021-05-01 00:00:00,2021-05-01 05:24:00,honmoku,天気:晴れ気温:15.0°C水温:17.0°C風向:北東風速:2〜3m潮:中潮満潮:6:34/21:10干潮:1:22/13:42警報/注意報:なし。,晴
2021-05-01 00:00:00,2021-05-01 07:12:00,isogo,お早う御座います、磯子は清々しい五月晴れの朝を迎えています。本日の潮；中潮、満潮；6:29/20:47、干潮；1:09/13:37天気；快晴、水温17.5℃、気温18.5℃、風；北風2〜5.1m/s。,晴
2021-05-01 00:00:00,2021-05-01 07:40:00,daikoku,外側先端のサビキで、サヨリがあがりました。内側先端では、サビキでアジがあがっていました。桟橋全体にイワシの回遊もあります。(大黒7:40)。,晴
2021-05-01 00:00:00,2021-05-01 10:50:00,daikoku,只今、釣り場200名定員になっています。(大黒10:50)。,晴
2021-05-01 00:00:00,2021-05-01 11:05:00,isogo,東桟橋奥浮きフカセ釣りでメジナ28僂釣れました。数は少ないようです。(磯子11:05)。,晴
2021-05-01 00:00:00,2021-05-01 11:12:00,isogo,南桟橋奥サビキ釣りでアジ20〜24僂上がっています。他にコノシロは好調に釣れています。(磯子11:12)。,晴
2021-05-01 00:00:00,2021-05-01 11:40:00,isogo,本日横浜地方に「強風・波浪・雷」注意報が発令されています。当施設では風速15ｍ以上の風を常時観測されますと釣り中止・閉場となりますので、ご承知おき下さい。(磯子11:40)。,晴
2021-05-01 00:00:00,2021-05-01 12:13:00,daikoku,,晴
2021-05-01 00:00:00,2021-05-01 14:09:00,daikoku,南西の風が12m〜14m吹き付けている桟橋です。これからの時間も風は強めの予報が出ています。充分注意して釣りをお楽しみ下さい。（大黒14:09）。,晴
2021-05-01 00:00:00,2021-05-01 14:15:00,daikoku,内側中央付近でヒラメ（34cm）とアジの釣果が確認出来ました。近くのお客さまもアジをお持ちでした。（大黒14:15）。,晴
2021-05-02,,daikoku,,晴
2021-05-02,,daikoku,かぜが全然治まる様子がありません。時折､20mを超す強風が吹いています。風がおさまりましたら釣り場を再開致しますが、風がおさまらない場合は釣り場は閉鎖となることもあります。ご了承下さい。（大黒13:37)。,晴
2021-05-02,,daikoku,只今、風速20m以上を頻繁に計測しているため釣り場から一時避難となっています。このあと、風がおさまるようでしたら釣り場を開放しますが、風がおさまらないようでしたらそのまま閉鎖となります。（大黒11:55）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側手前/メジナ25/サビキ釣りです。(大黒11:24）。,晴
2021-05-02,,daikoku,只今、釣り場は大変混んでいます。しかし、風が徐々に強くなり現在は南西の風16m〜17m吹いています。このあと、さらに風が強くなる予報です。当施設は、風速18m以上の風を常時計測いたしますと釣り場避難または閉鎖となってしまいます。（大黒10：51）写真を1枚追記いたしました。（11:11）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側中央/カタクチイワシ(大黒10:13）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側先端/サヨリ25僉Εタクチイワシ外側中央/カタクチイワシ(大黒9:03）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側中央/サバ30僉Ε▲検Εタクチイワシ/足元のサビキ釣りで釣れています。内側先端/カタクチイワシ外側中央/コノシロ・カタクチイワシ外側手前/コノシロ・カタクチイワシケーソン/クロダイ35/落とし込み釣りです。(大黒7:12）。,晴
2021-05-02,,daikoku,,晴
2021-05-02,,daikoku,かぜが全然治まる様子がありません。時折､20mを超す強風が吹いています。風がおさまりましたら釣り場を再開致しますが、風がおさまらない場合は釣り場は閉鎖となることもあります。ご了承下さい。（大黒13:37)。,晴
2021-05-02,,daikoku,只今、風速20m以上を頻繁に計測しているため釣り場から一時避難となっています。このあと、風がおさまるようでしたら釣り場を開放しますが、風がおさまらないようでしたらそのまま閉鎖となります。（大黒11:55）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側手前/メジナ25/サビキ釣りです。(大黒11:24）。,晴
2021-05-02,,daikoku,只今、釣り場は大変混んでいます。しかし、風が徐々に強くなり現在は南西の風16m〜17m吹いています。このあと、さらに風が強くなる予報です。当施設は、風速18m以上の風を常時計測いたしますと釣り場避難または閉鎖となってしまいます。（大黒10：51）写真を1枚追記いたしました。（11:11）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側中央/カタクチイワシ(大黒10:13）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側先端/サヨリ25僉Εタクチイワシ外側中央/カタクチイワシ(大黒9:03）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側中央/サバ30僉Ε▲検Εタクチイワシ/足元のサビキ釣りで釣れています。内側先端/カタクチイワシ外側中央/コノシロ・カタクチイワシ外側手前/コノシロ・カタクチイワシケーソン/クロダイ35/落とし込み釣りです。(大黒7:12）。,晴
2021-05-02,,daikoku,,晴
2021-05-02,,daikoku,かぜが全然治まる様子がありません。時折､20mを超す強風が吹いています。風がおさまりましたら釣り場を再開致しますが、風がおさまらない場合は釣り場は閉鎖となることもあります。ご了承下さい。（大黒13:37)。,晴
2021-05-02,,daikoku,只今、風速20m以上を頻繁に計測しているため釣り場から一時避難となっています。このあと、風がおさまるようでしたら釣り場を開放しますが、風がおさまらないようでしたらそのまま閉鎖となります。（大黒11:55）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側手前/メジナ25/サビキ釣りです。(大黒11:24）。,晴
2021-05-02,,daikoku,只今、釣り場は大変混んでいます。しかし、風が徐々に強くなり現在は南西の風16m〜17m吹いています。このあと、さらに風が強くなる予報です。当施設は、風速18m以上の風を常時計測いたしますと釣り場避難または閉鎖となってしまいます。（大黒10：51）写真を1枚追記いたしました。（11:11）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側中央/カタクチイワシ(大黒10:13）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側先端/サヨリ25僉Εタクチイワシ外側中央/カタクチイワシ(大黒9:03）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側中央/サバ30僉Ε▲検Εタクチイワシ/足元のサビキ釣りで釣れています。内側先端/カタクチイワシ外側中央/コノシロ・カタクチイワシ外側手前/コノシロ・カタクチイワシケーソン/クロダイ35/落とし込み釣りです。(大黒7:12）。,晴
2021-05-02,,daikoku,,晴
2021-05-02,,daikoku,かぜが全然治まる様子がありません。時折､20mを超す強風が吹いています。風がおさまりましたら釣り場を再開致しますが、風がおさまらない場合は釣り場は閉鎖となることもあります。ご了承下さい。（大黒13:37)。,晴
2021-05-02,,daikoku,只今、風速20m以上を頻繁に計測しているため釣り場から一時避難となっています。このあと、風がおさまるようでしたら釣り場を開放しますが、風がおさまらないようでしたらそのまま閉鎖となります。（大黒11:55）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側手前/メジナ25/サビキ釣りです。(大黒11:24）。,晴
2021-05-02,,daikoku,只今、釣り場は大変混んでいます。しかし、風が徐々に強くなり現在は南西の風16m〜17m吹いています。このあと、さらに風が強くなる予報です。当施設は、風速18m以上の風を常時計測いたしますと釣り場避難または閉鎖となってしまいます。（大黒10：51）写真を1枚追記いたしました。（11:11）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側中央/カタクチイワシ(大黒10:13）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報外側先端/サヨリ25僉Εタクチイワシ外側中央/カタクチイワシ(大黒9:03）。,晴
2021-05-02,,daikoku,桟橋安全巡回時の釣果情報内側中央/サバ30僉Ε▲検Εタクチイワシ/足元のサビキ釣りで釣れています。内側先端/カタクチイワシ外側中央/コノシロ・カタクチイワシ外側手前/コノシロ・カタクチイワシケーソン/クロダイ35/落とし込み釣りです。(大黒7:12）。,晴
2021-05-02,,honmoku,天気：気温：14.0℃水温：16.5℃風向：西風速：1〜4ｍ潮：中潮満潮：7：03／22：19干潮：2：01／14：34警報/注意報：強風注意報、波浪注意報、雷注意報。,晴
2021-05-02,,honmoku,天気：気温：14.0℃水温：16.5℃風向：西風速：1〜4ｍ潮：中潮満潮：7：03／22：19干潮：2：01／14：34警報/注意報：強風注意報、波浪注意報、雷注意報。,晴
2021-05-02,,honmoku,天気：気温：14.0℃水温：16.5℃風向：西風速：1〜4ｍ潮：中潮満潮：7：03／22：19干潮：2：01／14：34警報/注意報：強風注意報、波浪注意報、雷注意報。,晴
2021-05-02,,honmoku,天気：気温：14.0℃水温：16.5℃風向：西風速：1〜4ｍ潮：中潮満潮：7：03／22：19干潮：2：01／14：34警報/注意報：強風注意報、波浪注意報、雷注意報。,晴
2021-05-02,,isogo,只今、南西の風が常時16ｍ〜17ｍ吹いており最大で風速23ｍ以上の風も観測しており。釣り中止、一時避難となりました、再開の見込みについては未定です。(磯子13:31）。,晴
2021-05-02,,isogo,只今、南西の風が常時16ｍ〜17ｍ吹いており最大で風速23ｍ以上の風も観測しており。釣り中止、一時避難となりました、再開の見込みについては未定です。(磯子13:31）。,晴
2021-05-02,,isogo,只今、南西の風が常時16ｍ〜17ｍ吹いており最大で風速23ｍ以上の風も観測しており。釣り中止、一時避難となりました、再開の見込みについては未定です。(磯子13:31）。,晴
2021-05-02,,isogo,只今、南西の風が常時16ｍ〜17ｍ吹いており最大で風速23ｍ以上の風も観測しており。釣り中止、一時避難となりました、再開の見込みについては未定です。(磯子13:31）。,晴
2021-05-02,2021-05-02 04:27:00,daikoku,昨日の大雨もあがり、今朝の大黒は晴れていて最高気温も20℃ほどまであがりそうです。しかし、横浜市には強風・波浪・雷注意報が出ています。現在は南西の風が４〜６ｍ/sですがお昼ごろから風が強まる予報となっています。午後の風に備えて上着の用意とコロナ感染予防対策をしてお越し下さい。日没後は急速に暗くなりますので、ヘッドライト等の照明器具をご用意下さい。,晴
2021-05-02,2021-05-02 07:19:00,isogo,お早う御座います、今朝の磯子は天気も良く日差しも暖かいですが、南西の風が強く吹いており日中さらに風が強く吹く予報が出てています。現在横浜市に強風注意報が発令されております。当施設では風速15ｍ/sを常時観測しますと釣り中止、桟橋閉場となりますのでご了承ください。本日の潮；中潮、満潮；6:59/21:57、干潮；1:47/14:26天気；快晴、水温17.5℃、気温19.0℃、風；南西6〜9m/s。,晴
2021-05-02,2021-05-02 12:50:00,isogo,,晴
2021-05-02,2021-05-02 15:02:00,isogo,釣り場一時避難となっておりましたが、風がやや弱まり14:53に釣り場再開いたしました。引き続き風が強い予報が出ております。当施設では常時風速15ｍ以上の風を観測いたしますと釣り中止、桟橋閉鎖になりますので予めご了承ください。(磯子15:02)。,晴
2021-05-02,2021-05-02 15:20:00,daikoku,避難解除いたしました。まだ10ｍ程度の風は吹いていますが、安全確認出来ましたので釣り場再開といたしました。(大黒15:20)。,晴
2021-05-02 00:00:00,2021-05-02 00:00:00,honmoku,天気：気温：14.0℃水温：16.5℃風向：西風速：1〜4ｍ潮：中潮満潮：7：03／22：19干潮：2：01／14：34警報/注意報：強風注意報、波浪注意報、雷注意報。,晴
2021-05-02 00:00:00,2021-05-02 04:27:00,daikoku,昨日の大雨もあがり、今朝の大黒は晴れていて最高気温も20℃ほどまであがりそうです。しかし、横浜市には強風・波浪・雷注意報が出ています。現在は南西の風が４〜６ｍ/sですがお昼ごろから風が強まる予報となっています。午後の風に備えて上着の用意とコロナ感染予防対策をしてお越し下さい。日没後は急速に暗くなりますので、ヘッドライト等の照明器具をご用意下さい。,晴
2021-05-02 00:00:00,2021-05-02 05:30:00,honmoku,天気:気温:14.0°C水温:16.5°C風向:西風速:1〜4m潮:中潮満潮:7:03/22:19干潮:2:01/14:34警報/注意報:強風注意報、波浪注意報、雷注意報。,
2021-05-02 00:00:00,2021-05-02 07:12:00,daikoku,桟橋安全巡回時の釣果情報内側中央/サバ30僉Ε▲検Εタクチイワシ/足元のサビキ釣りで釣れています。内側先端/カタクチイワシ外側中央/コノシロ・カタクチイワシ外側手前/コノシロ・カタクチイワシケーソン/クロダイ35/落とし込み釣りです。(大黒7:12）。,晴
2021-05-02 00:00:00,2021-05-02 07:19:00,isogo,お早う御座います、今朝の磯子は天気も良く日差しも暖かいですが、南西の風が強く吹いており日中さらに風が強く吹く予報が出てています。現在横浜市に強風注意報が発令されております。当施設では風速15ｍ/sを常時観測しますと釣り中止、桟橋閉場となりますのでご了承ください。本日の潮；中潮、満潮；6:59/21:57、干潮；1:47/14:26天気；快晴、水温17.5℃、気温19.0℃、風；南西6〜9m/s。,晴
2021-05-02 00:00:00,2021-05-02 09:03:00,daikoku,桟橋安全巡回時の釣果情報外側先端/サヨリ25僉Εタクチイワシ外側中央/カタクチイワシ(大黒9:03）。,晴
2021-05-02 00:00:00,2021-05-02 10:13:00,daikoku,桟橋安全巡回時の釣果情報外側中央/カタクチイワシ(大黒10:13）。,晴
2021-05-02 00:00:00,2021-05-02 10:51:00,daikoku,只今、釣り場は大変混んでいます。しかし、風が徐々に強くなり現在は南西の風16m〜17m吹いています。このあと、さらに風が強くなる予報です。当施設は、風速18m以上の風を常時計測いたしますと釣り場避難または閉鎖となってしまいます。(大黒10:51)写真を1枚追記いたしました。(11:11)。,晴れ
2021-05-02 00:00:00,2021-05-02 11:11:00,daikoku,只今、釣り場は大変混んでいます。しかし、風が徐々に強くなり現在は南西の風16m〜17m吹いています。このあと、さらに風が強くなる予報です。当施設は、風速18m以上の風を常時計測いたしますと釣り場避難または閉鎖となってしまいます。（大黒10：51）写真を1枚追記いたしました。（11:11）。,晴
2021-05-02 00:00:00,2021-05-02 11:24:00,daikoku,桟橋安全巡回時の釣果情報内側手前/メジナ25/サビキ釣りです。(大黒11:24）。,晴
2021-05-02 00:00:00,2021-05-02 11:55:00,daikoku,只今、風速20m以上を頻繁に計測しているため釣り場から一時避難となっています。このあと、風がおさまるようでしたら釣り場を開放しますが、風がおさまらないようでしたらそのまま閉鎖となります。（大黒11:55）。,晴
2021-05-02 00:00:00,2021-05-02 12:50:00,isogo,,晴
